2023-03-20,NA,20592,10877.8571428571,27323.8571428571
2023-03-21,NA,20589.8571428571,9601.28571428571,27320.7142857143
2023-03-22,NA,20630.8571428571,8464.42857142857,27460.1428571429
2023-03-23,NA,20697.2857142857,7497.71428571429,27539.5714285714
2023-03-24,NA,20737.1428571429,6564.57142857143,27597.7142857143
2023-03-25,NA,20812.4285714286,5939.42857142857,27596.4285714286
2023-03-26,NA,21083.7142857143,5342,27640.4285714286
2023-03-27,NA,21482,4944.42857142857,27590.4285714286
2023-03-28,NA,21993.1428571429,4649.85714285714,27656.4285714286
2023-03-29,NA,22387.2857142857,4449.57142857143,27654.5714285714
2023-03-30,NA,22736.8571428571,4190.57142857143,27666.1428571429
2023-03-31,NA,23023,3968.42857142857,27660.5714285714
2023-04-01,NA,23335.2857142857,3823,27695
2023-04-02,NA,23382.5714285714,3725.57142857143,27868
2023-04-03,NA,23387.4285714286,3666.71428571429,28229.5714285714
2023-04-04,NA,23404.1428571429,3621,28605.1428571429
2023-04-05,NA,23529.2857142857,3572.71428571429,28975.4285714286
2023-04-06,NA,23642.2857142857,3541.14285714286,29286.8571428571
2023-04-07,NA,23837.5714285714,3389.71428571429,29542.8571428571
2023-04-08,NA,24047.8571428571,3340.85714285714,29863.1428571429
2023-04-09,NA,24190.2857142857,3259,29948.1428571429
2023-04-10,NA,24315,3114,29911
2023-04-11,NA,24473.5714285714,3090.85714285714,29918
2023-04-12,NA,24648.2857142857,3084.71428571429,29975.8571428571
2023-04-13,NA,24845.7142857143,3127,30070.1428571429
2023-04-14,NA,24648.2857142857,3255.28571428571,30209.7142857143
2023-04-15,NA,24638.8571428571,3265.71428571429,30420.2857142857
2023-04-16,NA,24534.4285714286,3316.57142857143,30526.2857142857
2023-04-17,NA,24529,3483.57142857143,30555.4285714286
2023-04-18,NA,24671.8571428571,3528.42857142857,30566.2857142857
2023-04-19,NA,24667,3579.42857142857,30579.1428571429
2023-04-20,NA,24642.1428571429,3628.28571428571,30591.5714285714
2023-04-21,NA,24922.1428571429,3675.28571428571,30153.7142857143
2023-04-22,NA,24980.4285714286,3699.57142857143,30059.4285714286
2023-04-23,NA,25182.1428571429,3733.71428571429,29895.2857142857
2023-04-24,NA,25347,3778.71428571429,29743
2023-04-25,NA,25359.5714285714,3814.28571428571,29858.2857142857
2023-04-26,NA,25425.7142857143,3840.28571428571,29861.2857142857
2023-04-27,NA,25602.7142857143,3841.14285714286,29868
2023-04-28,NA,25808.2857142857,3716.42857142857,30176.8571428571
2023-04-29,NA,25979.1428571429,3714.14285714286,30316.5714285714
2023-04-30,NA,26134.4285714286,3740.85714285714,30556.1428571429
2023-05-01,NA,26268,3773.57142857143,30770.7142857143
2023-05-02,NA,26409.8571428571,3806,30743.1428571429
2023-05-03,NA,26560.2857142857,3840,30483.8571428571
2023-05-04,NA,26648.5714285714,3911.14285714286,30459
2023-05-05,NA,26706.4285714286,4073,30598.2857142857
2023-05-06,NA,26787.2857142857,4134,30668.5714285714
2023-05-07,NA,26898.1428571429,4153.85714285714,30804
2023-05-08,NA,26976.7142857143,4177.85714285714,30928.4285714286
2023-05-09,NA,27051.7142857143,4248.57142857143,31102.8571428571
2023-05-10,NA,27101,4304.42857142857,31415.5714285714
2023-05-11,NA,27177.2857142857,4358.42857142857,31301.2857142857
2023-05-12,NA,27196,4479.28571428571,31425.7142857143
2023-05-13,NA,27199.1428571429,4531.85714285714,31448.1428571429
2023-05-14,NA,27207.2857142857,4571.85714285714,31471.4285714286
2023-05-15,NA,27226,4653,31544
2023-05-16,NA,27156.1428571429,4698.71428571429,31471.8571428571
2023-05-17,NA,27237.4285714286,4799,31540.1428571429
2023-05-18,NA,27303.4285714286,4724,31793
2023-05-19,NA,27294,4674.57142857143,31653
2023-05-20,NA,27373.5714285714,4693.71428571429,31651.2857142857
2023-05-21,NA,27462.1428571429,4749.57142857143,31614.4285714286
2023-05-22,NA,27513,4750.71428571429,31622.2857142857
2023-05-23,NA,27719.7142857143,4787.85714285714,31569.4285714286
2023-05-24,NA,27944.5714285714,4808.14285714286,31665.8571428571
2023-05-25,NA,27874,4962.42857142857,31802.7142857143
2023-05-26,NA,27840.8571428571,5092.42857142857,32055.7142857143
2023-05-27,NA,27952.5714285714,5127,32200
2023-05-28,NA,28156.8571428571,5112,32324.5714285714
2023-05-29,NA,28398.1428571429,5112.57142857143,32421.1428571429
2023-05-30,NA,28498.2857142857,5173.71428571429,32642.7142857143
2023-05-31,NA,28530.5714285714,5255.14285714286,32826.4285714286
2023-06-01,NA,28750.4285714286,5380.71428571429,32589.4285714286
2023-06-02,NA,29022.1428571429,5495.28571428571,32356.7142857143
2023-06-03,NA,29112.2857142857,5612.71428571429,32519.5714285714
2023-06-04,NA,28943.2857142857,5787.14285714286,32886.7142857143
2023-06-05,NA,28907,6001,33063.1428571429
2023-06-06,NA,29048.2857142857,6099.14285714286,33249.2857142857
2023-06-07,NA,29027.7142857143,6188,33343
2023-06-08,NA,29127.1428571429,6203.71428571429,33737.8571428571
2023-06-09,NA,29241.2857142857,6283.14285714286,34178.1428571429
2023-06-10,NA,29327.8571428571,6316.71428571429,34288.4285714286
2023-06-11,NA,29509.2857142857,6376.14285714286,34061
2023-06-12,NA,29636.7142857143,6568.57142857143,34016.7142857143
2023-06-13,NA,29700.5714285714,6727.14285714286,34130.7142857143
2023-06-14,NA,29855.4285714286,6869.28571428571,34202.8571428571
2023-06-15,NA,29860.5714285714,7079.57142857143,34407.7142857143
