scenario,tz_name,daio,year,flights
Actual,FAB CE,O,2011,1176991
Actual,FAB CE,T,2011,1914207
Actual,FABEC,AD,2011,3032738
Actual,FABEC,I,2011,1376419
Actual,FABEC,O,2011,1261900
Actual,FABEC,T,2011,5671057
Actual,Finland,AD,2011,159190
Actual,Finland,I,2011,65073
Actual,Finland,O,2011,43088
Actual,Finland,T,2011,267351
Actual,France,AD,2011,1087201
Actual,France,I,2011,448461
Actual,France,O,2011,1432077
Actual,France,T,2011,2967739
Actual,Georgia,AD,2011,20196
Actual,Georgia,I,2011,1411
Actual,Georgia,O,2011,88180
Actual,Georgia,T,2011,109787
Actual,Germany,AD,2011,1579921
Actual,Germany,I,2011,382087
Actual,Germany,O,2011,1115593
Actual,Germany,T,2011,3077601
Actual,Greece,AD,2011,233305
Actual,Greece,I,2011,107709
Actual,Greece,O,2011,314641
Actual,Greece,T,2011,655655
Actual,Hungary,AD,2011,114224
Actual,Hungary,I,2011,375
Actual,Hungary,O,2011,502045
Actual,Hungary,T,2011,616644
Actual,Iceland,AD,2011,28400
Actual,Iceland,I,2011,1
Actual,Iceland,O,2011,82441
Actual,Iceland,T,2011,110842
Actual,Ireland,AD,2011,213039
Actual,Ireland,I,2011,9512
Actual,Ireland,O,2011,300408
Actual,Ireland,T,2011,522959
Actual,Israel,AD,2011,89025
Actual,Israel,I,2011,1438
Actual,Israel,O,2011,12625
Actual,Israel,T,2011,103088
Actual,Italy,AD,2011,846851
Actual,Italy,I,2011,369844
Actual,Italy,O,2011,508964
Actual,Italy,T,2011,1725659
Actual,Latvia,AD,2011,72403
Actual,Latvia,I,2011,232
Actual,Latvia,O,2011,162700
Actual,Latvia,T,2011,235335
Actual,Lithuania,AD,2011,38463
Actual,Lithuania,I,2011,1189
Actual,Lithuania,O,2011,193776
Actual,Lithuania,T,2011,233428
Actual,Malta,AD,2011,33241
Actual,Malta,I,2011,97
Actual,Malta,O,2011,47372
Actual,Malta,T,2011,80710
Actual,Moldova,AD,2011,14601
Actual,Moldova,I,2011,135
Actual,Moldova,O,2011,45668
Actual,Moldova,T,2011,60404
Actual,Morocco,AD,2011,124673
Actual,Morocco,I,2011,22211
Actual,Morocco,O,2011,205205
Actual,Morocco,T,2011,352089
Actual,NEFAB,AD,2011,422085
Actual,NEFAB,I,2011,398738
Actual,NEFAB,O,2011,167457
Actual,NEFAB,T,2011,988280
Actual,Netherlands,AD,2011,494816
Actual,Netherlands,I,2011,27896
Actual,Netherlands,O,2011,562360
Actual,Netherlands,T,2011,1085072
Actual,North Macedonia,AD,2011,11281
Actual,North Macedonia,I,2011,109
Actual,North Macedonia,O,2011,113080
Actual,North Macedonia,T,2011,124470
Actual,Norway-Continental,AD,2011,222641
Actual,Norway-Continental,I,2011,295991
Actual,Norway-Continental,O,2011,44805
Actual,Norway-Continental,T,2011,563437
Actual,Poland,AD,2011,221124
Actual,Poland,I,2011,44444
Actual,Poland,O,2011,389080
Actual,Poland,T,2011,654648
Actual,Portugal-Continental,AD,2011,221950
Actual,Portugal-Continental,I,2011,28458
Actual,Portugal-Continental,O,2011,199536
Actual,Portugal-Continental,T,2011,449944
Actual,Portugal-SantaMaria,AD,2011,11785
Actual,Portugal-SantaMaria,I,2011,12612
Actual,Portugal-SantaMaria,O,2011,98460
Actual,Portugal-SantaMaria,T,2011,122857
Actual,Romania,AD,2011,117051
Actual,Romania,I,2011,21584
Actual,Romania,O,2011,348732
Actual,Romania,T,2011,487367
Actual,SES-RP2,AD,2011,1997822
Actual,SES-RP2,I,2011,7144986
Actual,SES-RP2,O,2011,200617
Actual,SES-RP2,T,2011,9343425
Actual,Serbia/Montenegro,AD,2011,68603
Actual,Serbia/Montenegro,I,2011,8324
Actual,Serbia/Montenegro,O,2011,480905
Actual,Serbia/Montenegro,T,2011,557832
Actual,Slovakia,AD,2011,27292
Actual,Slovakia,I,2011,3272
Actual,Slovakia,O,2011,351269
Actual,Slovakia,T,2011,381833
Actual,Slovenia,AD,2011,33705
Actual,Slovenia,I,2011,1028
Actual,Slovenia,O,2011,318056
Actual,Slovenia,T,2011,352789
Actual,South West FAB,AD,2011,1123243
Actual,South West FAB,I,2011,541915
Actual,South West FAB,O,2011,157883
Actual,South West FAB,T,2011,1823041
Actual,Spain-Canaries,AD,2011,177333
Actual,Spain-Canaries,I,2011,81589
Actual,Spain-Canaries,O,2011,38638
Actual,Spain-Canaries,T,2011,297560
Actual,Spain-Continental,AD,2011,915649
Actual,Spain-Continental,I,2011,335860
Actual,Spain-Continental,O,2011,413851
Actual,Spain-Continental,T,2011,1665360
Actual,Sweden,AD,2011,256763
Actual,Sweden,I,2011,154829
Actual,Sweden,O,2011,312763
Actual,Sweden,T,2011,724355
Actual,Switzerland,AD,2011,457098
Actual,Switzerland,I,2011,22472
Actual,Switzerland,O,2011,582993
Actual,Switzerland,T,2011,1062563
Actual,Türkiye,AD,2011,447462
Actual,Türkiye,I,2011,265299
Actual,Türkiye,O,2011,325897
Actual,Türkiye,T,2011,1038658
Actual,UK-Continental,AD,2011,1480273
Actual,UK-Continental,I,2011,414670
Actual,UK-Continental,O,2011,346351
Actual,UK-Continental,T,2011,2241294
Actual,UK-Ireland FAB,AD,2011,1482936
Actual,UK-Ireland FAB,I,2011,529403
Actual,UK-Ireland FAB,O,2011,259981
Actual,UK-Ireland FAB,T,2011,2272320
Actual,Ukraine,AD,2011,135390
Actual,Ukraine,I,2011,33624
Actual,Ukraine,O,2011,284063
Actual,Ukraine,T,2011,453077
Actual,NM Area,AD,2012,1757380
Actual,NM Area,I,2012,7801574
Actual,NM Area,O,2012,114152
Actual,NM Area,T,2012,9673106
Actual,Albania,AD,2012,20537
Actual,Albania,I,2012,2
Actual,Albania,O,2012,174555
Actual,Albania,T,2012,195094
Actual,Armenia,AD,2012,21696
Actual,Armenia,I,2012,13
Actual,Armenia,O,2012,34301
Actual,Armenia,T,2012,56010
Actual,Austria,AD,2012,312087
Actual,Austria,I,2012,23697
Actual,Austria,O,2012,797371
Actual,Austria,T,2012,1133155
Actual,Azerbaijan,AD,2012,42263
Actual,Azerbaijan,I,2012,5046
Actual,Azerbaijan,O,2012,82997
Actual,Azerbaijan,T,2012,130306
Actual,BLUE MED FAB,AD,2012,1058989
Actual,BLUE MED FAB,I,2012,479958
Actual,BLUE MED FAB,O,2012,672822
Actual,BLUE MED FAB,T,2012,2211769
Actual,Baltic FAB,AD,2012,264451
Actual,Baltic FAB,I,2012,56195
Actual,Baltic FAB,O,2012,447798
Actual,Baltic FAB,T,2012,768444
Actual,Belgium/Luxembourg,AD,2012,366613
Actual,Belgium/Luxembourg,I,2012,7477
Actual,Belgium/Luxembourg,O,2012,715232
Actual,Belgium/Luxembourg,T,2012,1089322
Actual,Bosnia and Herzegovina,AD,2012,11530
Actual,Bosnia and Herzegovina,I,2012,438
Actual,Bosnia and Herzegovina,O,2012,256487
Actual,Bosnia and Herzegovina,T,2012,268455
Actual,Bulgaria,AD,2012,64328
Actual,Bulgaria,I,2012,4995
Actual,Bulgaria,O,2012,470787
Actual,Bulgaria,T,2012,540110
Actual,Croatia,AD,2012,64626
Actual,Croatia,I,2012,8757
Actual,Croatia,O,2012,422033
Actual,Croatia,T,2012,495416
Actual,Cyprus,AD,2012,62694
Actual,Cyprus,I,2012,821
Actual,Cyprus,O,2012,206243
Actual,Cyprus,T,2012,269758
Actual,Czech Republic,AD,2012,141592
Actual,Czech Republic,I,2012,5554
Actual,Czech Republic,O,2012,532265
Actual,Czech Republic,T,2012,679411
Actual,DK-SE FAB,AD,2012,470394
Actual,DK-SE FAB,I,2012,213749
Actual,DK-SE FAB,O,2012,293521
Actual,DK-SE FAB,T,2012,977664
Actual,Danube FAB,AD,2012,169240
Actual,Danube FAB,I,2012,26872
Actual,Danube FAB,O,2012,550301
Actual,Danube FAB,T,2012,746413
Actual,Denmark,AD,2012,269468
Actual,Denmark,I,2012,39931
Actual,Denmark,O,2012,295101
Actual,Denmark,T,2012,604500
Actual,ECAC,AD,2012,1813318
Actual,ECAC,I,2012,7751163
Actual,ECAC,O,2012,144854
Actual,ECAC,T,2012,9709335
Actual,ESRA08,AD,2012,1915848
Actual,ESRA08,I,2012,7513459
Actual,ESRA08,O,2012,118968
Actual,ESRA08,T,2012,9548275
Actual,Estonia,AD,2012,43993
Actual,Estonia,I,2012,3198
Actual,Estonia,O,2012,141721
Actual,Estonia,T,2012,188912
Actual,FAB CE,AD,2012,605727
Actual,FAB CE,I,2012,78489
Actual,FAB CE,O,2012,1180304
Actual,FAB CE,T,2012,1864520
Actual,FABEC,AD,2012,3005327
Actual,FABEC,I,2012,1336266
Actual,FABEC,O,2012,1221855
Actual,FABEC,T,2012,5563448
Actual,Finland,AD,2012,151278
Actual,Finland,I,2012,54000
Actual,Finland,O,2012,46563
Actual,Finland,T,2012,251841
Actual,France,AD,2012,1073550
Actual,France,I,2012,443170
