scenario,tz_name,daio,year,flights
Actual,Czech Republic,O,2011,529613
Actual,Czech Republic,T,2011,695273
Actual,DK-SE FAB,AD,2011,476123
Actual,DK-SE FAB,I,2011,231429
Actual,DK-SE FAB,O,2011,300186
Actual,DK-SE FAB,T,2011,1007738
Actual,Danube FAB,AD,2011,180520
Actual,Danube FAB,I,2011,29255
Actual,Danube FAB,O,2011,548186
Actual,Danube FAB,T,2011,757961
Actual,Denmark,AD,2011,267256
Actual,Denmark,I,2011,51895
Actual,Denmark,O,2011,305563
Actual,Denmark,T,2011,624714
Actual,ECAC,AD,2011,1779395
Actual,ECAC,I,2011,8007950
Actual,ECAC,O,2011,135902
Actual,ECAC,T,2011,9923247
Actual,ESRA08,AD,2011,1883114
Actual,ESRA08,I,2011,7789564
Actual,ESRA08,O,2011,111633
Actual,ESRA08,T,2011,9784311
Actual,Estonia,AD,2011,34560
Actual,Estonia,I,2011,3210
Actual,Estonia,O,2011,140316
Actual,Estonia,T,2011,178086
Actual,FAB CE,AD,2011,648996
Actual,FAB CE,I,2011,88220
Actual,FAB CE,O,2011,1176991
Actual,FAB CE,T,2011,1914207
Actual,FABEC,AD,2011,3032738
Actual,FABEC,I,2011,1376544
Actual,FABEC,O,2011,1261900
Actual,FABEC,T,2011,5671182
Actual,Finland,AD,2011,159190
Actual,Finland,I,2011,65073
Actual,Finland,O,2011,43088
Actual,Finland,T,2011,267351
Actual,France,AD,2011,1087201
Actual,France,I,2011,448461
Actual,France,O,2011,1432077
Actual,France,T,2011,2967739
Actual,Georgia,AD,2011,20196
Actual,Georgia,I,2011,1411
Actual,Georgia,O,2011,88180
Actual,Georgia,T,2011,109787
Actual,Germany,AD,2011,1579921
Actual,Germany,I,2011,382087
Actual,Germany,O,2011,1115593
Actual,Germany,T,2011,3077601
Actual,Greece,AD,2011,233305
Actual,Greece,I,2011,107709
Actual,Greece,O,2011,314641
Actual,Greece,T,2011,655655
Actual,Hungary,AD,2011,114224
Actual,Hungary,I,2011,375
Actual,Hungary,O,2011,502045
Actual,Hungary,T,2011,616644
Actual,Iceland,AD,2011,28401
Actual,Iceland,I,2011,1
Actual,Iceland,O,2011,82441
Actual,Iceland,T,2011,110843
Actual,Ireland,AD,2011,213039
Actual,Ireland,I,2011,9512
Actual,Ireland,O,2011,300408
Actual,Ireland,T,2011,522959
Actual,Israel,AD,2011,89025
Actual,Israel,I,2011,1438
Actual,Israel,O,2011,12625
Actual,Israel,T,2011,103088
Actual,Italy,AD,2011,846851
Actual,Italy,I,2011,369844
Actual,Italy,O,2011,508964
Actual,Italy,T,2011,1725659
Actual,Latvia,AD,2011,72403
Actual,Latvia,I,2011,232
Actual,Latvia,O,2011,162700
Actual,Latvia,T,2011,235335
Actual,Lithuania,AD,2011,38463
Actual,Lithuania,I,2011,1189
Actual,Lithuania,O,2011,193776
Actual,Lithuania,T,2011,233428
Actual,Malta,AD,2011,33241
Actual,Malta,I,2011,97
Actual,Malta,O,2011,47372
Actual,Malta,T,2011,80710
Actual,Moldova,AD,2011,14601
Actual,Moldova,I,2011,135
Actual,Moldova,O,2011,45668
Actual,Moldova,T,2011,60404
Actual,Morocco,AD,2011,124673
Actual,Morocco,I,2011,22211
Actual,Morocco,O,2011,205205
Actual,Morocco,T,2011,352089
Actual,NEFAB,AD,2011,422085
Actual,NEFAB,I,2011,398738
Actual,NEFAB,O,2011,167457
Actual,NEFAB,T,2011,988280
Actual,Netherlands,AD,2011,494816
Actual,Netherlands,I,2011,28021
Actual,Netherlands,O,2011,562360
Actual,Netherlands,T,2011,1085197
Actual,North Macedonia,AD,2011,11281
Actual,North Macedonia,I,2011,109
Actual,North Macedonia,O,2011,113080
Actual,North Macedonia,T,2011,124470
Actual,Norway-Continental,AD,2011,222641
Actual,Norway-Continental,I,2011,295991
Actual,Norway-Continental,O,2011,44805
Actual,Norway-Continental,T,2011,563437
Actual,Poland,AD,2011,221124
Actual,Poland,I,2011,44444
Actual,Poland,O,2011,389080
Actual,Poland,T,2011,654648
Actual,Portugal-Continental,AD,2011,221950
Actual,Portugal-Continental,I,2011,28458
Actual,Portugal-Continental,O,2011,199536
Actual,Portugal-Continental,T,2011,449944
Actual,Portugal-SantaMaria,AD,2011,11785
Actual,Portugal-SantaMaria,I,2011,12612
Actual,Portugal-SantaMaria,O,2011,98460
Actual,Portugal-SantaMaria,T,2011,122857
Actual,Romania,AD,2011,117051
Actual,Romania,I,2011,21584
Actual,Romania,O,2011,348732
Actual,Romania,T,2011,487367
Actual,SES-RP2,AD,2011,1997822
Actual,SES-RP2,I,2011,7145111
Actual,SES-RP2,O,2011,200617
Actual,SES-RP2,T,2011,9343550
Actual,Serbia/Montenegro,AD,2011,68603
Actual,Serbia/Montenegro,I,2011,8324
Actual,Serbia/Montenegro,O,2011,480905
Actual,Serbia/Montenegro,T,2011,557832
